ds,yhat,yhat_lower,yhat_upper
2019-10-30,21769.348697699403,17308.96433758635,26576.64771305993
2019-10-31,21426.422233623445,17118.037757716877,26228.197384796087
2019-11-01,20527.04486476061,15939.93323036194,24683.55071336233
2019-11-02,12112.808520974471,7394.620384774224,16649.55794671031
2019-11-03,10404.643801735601,5674.786378852985,15119.590383897132
2019-11-04,19052.767370092246,14443.1378141036,23582.633482691803
2019-11-05,21017.716538527067,16055.970523996635,25740.14993622513
2019-11-06,20940.095564876923,16569.649020116365,25559.92134966093
2019-11-07,20566.781668749943,15946.780043637365,24959.65188334519
2019-11-08,19660.307561061472,14722.54247726211,24172.75105665402
2019-11-09,11262.250792646008,6683.1013341619155,15694.61317120611
2019-11-10,9592.969299396704,4966.191543257514,14009.288680774433
2019-11-11,18301.55562960579,13847.90710118292,23112.378990740697
2019-11-12,20346.89091038732,15906.908917611163,24719.30796691931
2019-11-13,20367.422779123655,15595.575223211945,24799.129483180783
2019-11-14,20107.41471096287,15565.485600898824,24539.427361587
2019-11-15,19326.382684642023,14662.385792023524,23839.397143997485
2019-11-16,11062.548385858827,6233.8981828924025,15772.391928356808
2019-11-17,9532.646986315869,4911.306515005541,14105.908811982172
2019-11-18,18381.96043972083,13689.915969666912,22911.50109284396
2019-11-19,20565.455636567618,15980.698787922189,25235.498477759505
2019-11-20,20717.649794804645,16369.750343159034,24747.79096474875
2019-11-21,20578.948576949337,15853.942467209497,25250.991375787013
2019-11-22,19905.170887322478,15720.974675283145,23942.998456122223
2019-11-23,11731.087557607476,7133.524742604269,16263.79379835246
2019-11-24,10270.310010739779,5641.099879665173,14985.724757303486
2019-11-25,19165.397985790147,14630.548539946029,23881.453371458196
2019-11-26,21369.063938465246,16887.249665153795,26407.528135702963
2019-11-27,21514.09494131009,17062.11595877994,26535.087861338026
2019-11-28,21339.73623103661,16435.25730205504,25925.449541121572
2019-11-29,20601.249256656127,15983.017440371272,25035.274017774223
2019-11-30,12333.47060683453,7725.903155025979,17332.080918287225
2019-12-01,10750.70736745956,6120.6233505695,15220.18368124322
2019-12-02,19496.837758588517,14709.824566553369,24101.80364623667
2019-12-03,21526.494743712792,17330.67120896301,26009.53195159816
2019-12-04,21474.953826601613,16808.38343131299,26243.602973875444
2019-12-05,21084.469878159514,16212.697277382409,25481.323834248193
2019-12-06,20113.776832708747,15617.694777518587,24380.346627753835
2019-12-07,11601.577885328006,7206.822559380452,16312.687876453825
2019-12-08,9766.363235528983,5096.806862656716,14234.964050537763
2019-12-09,18256.425925875104,13596.169778443185,23009.595191638877
2019-12-10,20030.955336923107,15560.365780615559,24203.355863236327
2019-12-11,19729.83154530914,15536.743488171422,24461.836505071416
2019-12-12,19099.867458498513,14926.397002029318,23806.847292244005
2019-12-13,17904.214666815787,13513.546640398567,22748.979666526124
2019-12-14,9185.762727391628,4719.21407555679,13638.107016884942
2019-12-15,7166.8709413231845,2442.942186534966,11969.278350585533
2019-12-16,15499.305075363369,10599.474417464067,19628.37202664153
2019-12-17,17145.26033354209,12820.088871186636,21675.77738483155
2019-12-18,16747.095330951735,12129.5314276079,21392.237978477115
2019-12-19,16053.525294408662,11304.648920153899,20818.461372889124
2019-12-20,14828.99147592444,10134.443721241809,19445.1923094483
2019-12-21,6117.0372507105,1587.884025492107,10322.396524655456
2019-12-22,4140.030411293337,-213.09468268507499,8832.12419892894
2019-12-23,12549.104244444634,8049.812860502476,16711.427443510707
2019-12-24,14305.19851171465,9945.46750793213,18719.925482828003
2019-12-25,14048.824590994778,9176.892317259315,18730.759242685064
2019-12-26,13526.30220685072,8744.573536250426,18097.17667426216
2019-12-27,12499.183660334193,7812.127574544633,17014.93375950036
2019-12-28,4007.694700977654,-211.93179709716338,8797.35190160453
2019-12-29,2270.530003486989,-2507.231817163514,7066.384662561034
2019-12-30,10934.874103711227,6183.810454245437,15439.152803511595
2019-12-31,12957.527043567465,8666.924312660423,17561.971782503333
2020-01-01,12974.757014143866,8106.197675447836,17775.571411131725
2020-01-02,12728.625410486937,8146.395829597472,17285.97822771489
2020-01-03,11976.498197601644,7329.244850083654,16661.60592481057
2020-01-04,3754.570758942922,-985.2501911821263,8292.202877097978
2020-01-05,2277.7423266335663,-2189.7187787466087,6834.995093231463
