ds,yhat,yhat_lower,yhat_upper
2019-07-01,2388.348383893869,389.2602631591693,4272.767792798685
2019-07-02,2677.4170208592454,602.9700058007843,4625.48249295865
2019-07-03,2589.9514259417087,556.4926273340745,4479.93875968387
2019-07-04,2334.219922986233,407.9218165810293,4271.187141460565
2019-07-05,1986.9090799584997,35.8816888507579,3914.853745153115
2019-07-06,-1221.688598441112,-3172.8288279217095,678.6817240018772
2019-07-07,-1282.4328817058267,-3143.5313912737633,527.2073117635923
2019-07-08,1691.285558876626,-178.92635235141955,3613.305240713657
2019-07-09,2118.9688156140833,230.556538225443,4073.0329830878327
2019-07-10,2181.7544442607036,136.60638199733555,4143.052056863793
2019-07-11,2085.480570144082,347.5321344030637,4067.5285326532526
2019-07-12,1904.1850875865453,-58.04596398942984,3903.467678213482
2019-07-13,-1134.6573011922596,-2935.98045211189,833.8893493666881
2019-07-14,-1024.8396259693895,-2948.673312723037,845.9477351615258
2019-07-15,2117.2556866028694,173.67131663458414,4023.716772967622
2019-07-16,2708.1396072910857,904.5027154810667,4733.8121745286335
2019-07-17,2926.0193021911828,1018.6533775988547,4917.478364148822
2019-07-18,2973.923061872119,1144.050205731918,4830.0535868549105
2019-07-19,2923.2577823015663,915.9324127792307,4745.8481357034325
2019-07-20,-0.8985176090973255,-2042.1296643684602,1866.7445943661028
2019-07-21,205.55021078147684,-1683.882822594397,2187.1029697434083
2019-07-22,3424.442627006627,1517.5686126383873,5391.931824608675
2019-07-23,4070.882759660891,2137.372155917561,6014.166269183029
2019-07-24,4322.075518153801,2372.2905266991925,6312.198281937671
2019-07-25,4380.476255517849,2435.455985511084,6349.37077035184
2019-07-26,4317.364132389091,2421.2456369838387,6275.635923410845
2019-07-27,1358.1412751365526,-617.5970475412252,3374.5521159299014
2019-07-28,1507.6767828959373,-438.2530191455131,3264.2861464114103
2019-07-29,4649.018775918407,2626.722249891794,6615.387110294226
2019-07-30,5198.895107592334,3287.4828576670784,7084.844699743414
2019-07-31,5336.51765041231,3318.7255156177685,7243.256444090293
2019-08-01,5266.691999269398,3390.8357649342393,7247.62488934288
2019-08-02,5063.343091593279,3132.1952255645715,6944.410890584057
2019-08-03,1954.759678337985,98.20906757885439,3972.514528136055
2019-08-04,1948.877815208002,78.64012335189204,3893.042733991904
2019-08-05,4931.927833317238,3049.921466883542,6848.401938633521
2019-08-06,5323.866803809495,3473.21041286502,7119.238541591786
2019-08-07,5307.112895420354,3394.4036825268927,7122.197590540853
2019-08-08,5089.585020152408,3103.4553977193855,7005.153930618512
2019-08-09,4748.159847183969,2822.1991515193345,6722.5132533153455
2019-08-10,1513.8506916774559,-489.52280495501475,3420.235947355632
2019-08-11,1397.0299759678217,-579.6455355874565,3307.170787537378
2019-08-12,4286.021168726268,2442.899040301847,6225.261890665667
2019-08-13,4602.483546190046,2601.3575953720992,6377.402782090085
2019-08-14,4530.107353842063,2590.485181168401,6376.796399626934
2019-08-15,4277.623761628247,2317.2926808800808,6187.1917098873655
2019-08-16,3922.242483781716,2096.754841444897,6011.283818651152
2019-08-17,694.8221305291208,-1321.6585718236818,2566.633580794329
2019-08-18,605.0953029908715,-1341.1162260615918,2488.853124155492
2019-08-19,3540.274392173481,1547.8115003981236,5239.810742400265
2019-08-20,3920.4612178617226,1999.6281814372223,5749.322710899315
2019-08-21,3927.377614269375,1834.7116838653262,5897.585797608654
2019-08-22,3767.420629086122,2020.5928464687208,5728.746361035409
2019-08-23,3515.1542382143653,1645.662466418163,5355.055815063908
2019-08-24,398.5414532585878,-1595.2855412103725,2320.8829385343734
2019-08-25,424.23744622844697,-1446.0416655949866,2488.6748003260996
2019-08-26,3476.268100318196,1478.0193211762562,5392.600543344171
2019-08-27,3971.515440122221,2071.3271443644976,5829.607807022161
2019-08-28,4088.525274905608,2195.2024960780072,5921.898717055769
2019-08-29,4030.638898951127,2074.695330885356,5880.281210999848
2019-08-30,3869.5589233511137,1929.3595989707926,5763.923450383426
2019-08-31,830.6513272559905,-957.8119774105752,2675.377308757336
2019-09-01,918.3026471120693,-914.8569595107244,3031.2350802665615
2019-09-02,4014.65513239425,2110.0466460427756,6038.934911869576
2019-09-03,4535.139906480411,2634.27113741447,6434.925516115981
2019-09-04,4657.322253863142,2719.064847594246,6656.3877884897665
2019-09-05,4584.059898924002,2718.1010228465816,6578.926159264329
2019-09-06,4387.083632515454,2546.415353116546,6357.878750945405
2019-09-07,1292.3019364927302,-608.6694454734759,3042.3665565824713
2019-09-08,1305.148381057262,-743.9678553828717,3376.5220442552363
2019-09-09,4309.294779992371,2395.840480428178,6507.637952753009
2019-09-10,4722.150598070164,2791.435108797512,6480.810016252199
2019-09-11,4723.663477910132,2841.7108778708985,6542.8860892734165
2019-09-12,4519.422772050713,2410.4729868508684,6525.7250387935665
2019-09-13,4184.176708330726,2268.633469566307,6056.286889803541
2019-09-14,947.0663324570212,-1044.7493898560258,2817.0548869472887
2019-09-15,816.8966826034539,-1092.366318026647,2861.2911009554896
2019-09-16,3680.7700073174938,1643.555123457784,5577.655951254375
2019-09-17,3959.503448533508,1926.9150221057218,5844.197046092388
2019-09-18,3836.34803901983,1926.3440048443626,5671.344896195695
2019-09-19,3520.012887139551,1465.2286150422678,5481.567745577227
2019-09-20,3088.1071197961537,1220.3735219852472,5058.831700838673
2019-09-21,-227.6954228193108,-2133.470127372348,1689.795310665444
2019-09-22,-416.44657609903606,-2442.1890471044067,1454.9758529340268
2019-09-23,2410.6570142690853,419.25674035061934,4368.596167831339
